ID,Language,Dataset,Modality,Use,Features,Source Paper,Dataset Access,Cited By
6558,Kinyarwanda,110K sentiment-labeled tweets,Text,Not specified,"The '110K sentiment-labeled tweets' dataset is mentioned in research citations but lacks detailed usage descriptions. Therefore, there is no specific evidence to describe its application, methodology, research questions, or enabling capabilities in any particular study. The dataset's actual use in research remains unspecified based on the provided information.",https://doi.org/10.3115/v1/S14-2009 (2014),,https://doi.org/10.48550/arXiv.2304.06845 (2023)
6559,Kinyarwanda,Affect in Tweets,Text,Sentiment Analysis,"The 'Affect in Tweets' dataset is used for sentiment analysis in code-mixed Kinyarwanda tweets, focusing on affective language and linguistic features in social media. Researchers employ this dataset to analyze emotional content and linguistic nuances, enabling studies on how emotions are expressed in multilingual online contexts.",https://doi.org/10.18653/v1/S18-1001 (2018),,https://doi.org/10.48550/arXiv.2304.06845 (2023)
6560,Kinyarwanda,AfriSenti datasets,Text,Sentiment Analysis,"The AfriSenti dataset is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit information on specific methodologies, research questions, or characteristics of the dataset. Therefore, based on the provided evidence, it cannot be accurately described how AfriSenti is used in research.; The AfriSenti datasets are used to perform sentiment analysis on African languages, with a focus on polarity classification. These datasets support the development of sentiment analysis systems, particularly for Kinyarwanda, enabling researchers to study the nuances of sentiment and language use in this linguistic context. The datasets facilitate the building of models that can accurately classify sentiments, enhancing understanding of diverse linguistic expressions.","https://doi.org/10.1109/AIBThings58340.2023.10292494 (2023), https://www.semanticscholar.org/paper/f5808755486ad4fe58d832e752e624382c5a2d5a (2020)",https://huggingface.co/datasets/HausaNLP/AfriSenti-Twitter,https://doi.org/10.1109/ICMI60790.2024.10585867 (2024); https://doi.org/10.48550/arXiv.2302.08956 (2023)
6562,Kinyarwanda,AfriSenti-Sent 2023 Shared Task 12 datasets,Unknown,Not specified,"The 'AfriSenti-Sent 2023 Shared Task 12 datasets' is mentioned in research citations but lacks detailed descriptions of its usage. There is no explicit information on the methodology, research questions, or specific characteristics of the dataset. Therefore, it cannot be accurately described beyond its mere mention in the literature.",https://doi.org/10.18653/v1/2021.mrl-1.11 (2021),https://github.com/afrisenti-semeval/afrisent-semeval-2023,https://doi.org/10.1109/AIBThings58340.2023.10292494 (2023)
6563,Kinyarwanda,Formality dataset,Text,Style Transfer,"The Formality dataset is used to collect Kinyarwanda sentences for formality style transfer, focusing on pairs of sentences that convey the same meaning but differ in formality levels. This dataset enables researchers to develop and evaluate algorithms that can transform text between formal and informal styles, enhancing natural language processing applications in Kinyarwanda.",https://doi.org/10.18653/v1/N18-1012 (2018),https://github.com/s-nlp/formality,https://doi.org/10.48550/arXiv.2402.08638 (2024)
6565,Kinyarwanda,KIN data,Text,Linguistic and Thematic Analysis,"The KIN data dataset is used to study testimonies by survivors of the Rwandan genocide, focusing on linguistic and thematic analysis in the Kinyarwanda language. Researchers employ qualitative methods to analyze the language and themes within these testimonies, addressing specific research questions related to the linguistic expression and thematic content of survivor narratives. This dataset enables detailed examination of how survivors articulate their experiences, providing insights into the cultural and psychological dimensions of trauma and resilience.",https://www.semanticscholar.org/paper/727209a57c643472c8fc166ba3cc373936acc8d0 (2013),https://github.com/dhgarrette/low-resource-pos-tagging-2013,https://doi.org/10.3115/v1/P15-1134 (2015)
6566,Kinyarwanda,KINNEWS,Text,Named Entity Recognition,The KINNEWS dataset is used for news topic classification and Named Entity Recognition (NER) in Kinyarwanda. It evaluates model performance on Kinyarwanda news articles and analyzes linguistic features using a treebank approach. This dataset enables researchers to assess and improve NLP models specifically tailored for the Kinyarwanda language.,https://doi.org/10.18653/V1/2020.COLING-MAIN.480 (2020),https://huggingface.co/datasets/andreniyongabo/kinnews_kirnews,https://www.semanticscholar.org/paper/2ac19d63e1adba20473a6d1122c598f81efc3c58 (2022)
6568,Kinyarwanda,Kinyarwanda monolingual dataset,Text,Semantic Textual Similarity,"The Kinyarwanda monolingual dataset is used to create a new monolingual STR (Semantic Textual Similarity) dataset for Kinyarwanda, specifically focusing on semantic textual similarity in multilingual research contexts. This involves employing methodologies that assess and compare the semantic equivalence of texts within the Kinyarwanda language. The dataset enables researchers to develop and evaluate models that can accurately measure textual similarity, contributing to advancements in multilingual natural language processing.",https://doi.org/10.18653/v1/S16-1081 (2016),,https://doi.org/10.48550/arXiv.2402.08638 (2024)
6570,Kinyarwanda,machine-translated subset of GLUE,Text,Classification,"The machine-translated subset of GLUE is used to evaluate Kinyarwanda language models on natural language understanding tasks, specifically adapted from the GLUE benchmark. It assesses model performance in news article classification, focusing on category prediction accuracy. This dataset enables researchers to test and improve the effectiveness of Kinyarwanda language models in specific NLP tasks.",https://doi.org/10.18653/v1/W18-5446 (2018),https://github.com/anzeyimana/kinyabert-acl2022,https://doi.org/10.18653/v1/2022.acl-long.367 (2022)
6574,Kinyarwanda,MSWC corpus,Text,Keyword Extraction,"The MSWC corpus is used to train and evaluate pre-trained models for the Kinyarwanda language, specifically focusing on identifying and analyzing the most prevalent keywords within the corpus. This dataset enables researchers to enhance the performance and relevance of natural language processing models for Kinyarwanda by providing a rich source of linguistic data.",https://doi.org/10.1007/978-3-030-57077-4_10 (2021),https://mlcommons.org/datasets/multilingual-spoken-words/,https://www.semanticscholar.org/paper/3c0b89d19b49b2f314ebb2ef2459832f9ac83d89 (2025)
6575,Kinyarwanda,news categorization dataset,Text,Categorization/Classification,"The news categorization dataset is used to evaluate the accuracy and reliability of category classification in local news articles in Kinyarwanda. Researchers employ this dataset to assess machine translation and categorization models, focusing on how well these systems can reliably classify news content into appropriate categories. This enables the development and improvement of news categorization tools tailored for the Kinyarwanda language.",https://doi.org/10.18653/v1/W18-5446 (2018),https://github.com/anzeyimana/kinyabert-acl2022,https://doi.org/10.18653/v1/2022.acl-long.367 (2022)
6579,Kinyarwanda,small dataset of frequent words annotated by linguists,Unknown,Not specified,"The 'small dataset of frequent words annotated by linguists' is mentioned in the literature but lacks detailed descriptions of its usage. No specific methodologies, research questions, or applications are provided, and there is no evidence of its use in Kinyarwanda language research or any other specific linguistic studies. The dataset's role and impact in research remain unclear based on the available information.; The 'small dataset of frequent words annotated by linguists' is mentioned in research contexts but lacks detailed descriptions of its usage. No specific methodologies, research questions, or applications are provided. The dataset's role and impact in linguistic studies are not explicitly outlined in the available information.",https://www.semanticscholar.org/paper/a2d87894b31c8621ec3c3d72328bdfb142ea4b5a (2013),,https://doi.org/10.18653/v1/2020.coling-main.409 (2020)
6797,Kyrgyz,780 dependency trees,Text,Parsing and Tagging,"The dataset '780 dependency trees' is mentioned in the citation context but lacks detailed descriptions of its usage. Therefore, there is no specific information available regarding its application, methodology, research questions, or enabling capabilities in any particular research area.; The '780 dependency trees' dataset is used to model the grammar, syntax, and morphology of the Kyrgyz language, contributing to the Universal Dependencies initiative. This dataset enables researchers to analyze and standardize linguistic structures, facilitating cross-linguistic research and computational linguistics applications.",https://www.semanticscholar.org/paper/e94e7940851d2908a993b9f90e3dd87c6de7c2f3 (2016),https://github.com/UniversalDependencies/UD_Kyrgyz-KTMU/,https://doi.org/10.48550/arXiv.2308.15952 (2023)
